material_id,formula,A,formation_energy_eV_atom,hull_eV_atom,band_gap_eV_audit_only,nsites_audit_only,source,Sn_fraction,O_fraction,A_fraction,entropy,mean_Z,std_Z,A_weighted_Z,mean_atomic_mass,std_atomic_mass,A_weighted_atomic_mass,mean_X,std_X,A_weighted_X,mean_atomic_radius,std_atomic_radius,A_weighted_atomic_radius,mean_row,std_row,A_weighted_row,mean_group,std_group,A_weighted_group,mean_mendeleev_no,std_mendeleev_no,A_weighted_mendeleev_no,mean_electron_affinity,std_electron_affinity,A_weighted_electron_affinity,mean_ionization_energy,std_ionization_energy,A_weighted_ionization_energy,struct_volume_per_atom,struct_density,struct_axis_ratio_mid,struct_axis_ratio_long,struct_angle_deviation
mp-1045965,MgSnO2,Mg,-2.132383686,0.2016221,1.088,16,Materials_Project,0.25,0.5,0.25,1.039720771,19.5,17.68473918,3,43.75345,43.40881586,6.07625,2.5375,0.931299495,0.3275,1.0375,0.437856997,0.375,3,1.224744871,0.75,12,5.830951895,0.5,89.5,12.03120942,18.25,0.90357404,0.777338122,-0.105,10.556566,3.063354276,1.911559,16.20000309,4.484833281,2.531864091,2.922203689,8.20757346
mp-1046012,CaSnO2,Ca,-2.299588605,0.225703576,1.6462,16,Materials_Project,0.25,0.5,0.25,1.039720771,21.5,17.16828471,5,47.6967,42.16150798,10.0195,2.46,1.037111373,0.25,1.1125,0.527227418,0.45,3.25,1.299038106,1,12,5.830951895,0.5,75.25,34.98839093,4,1.014711789,0.5891615,0.00613775,10.17329587,3.472133715,1.528288867,20.6432068,3.836721419,2.475303753,2.913709196,5.096213591
mp-1046192,Sn5(TeO6)3,Te,-1.654083261,0.149917946,0.3612,52,Materials_Project,0.192307692,0.692307692,0.115384615,0.820799689,21.15384615,19.73807782,6,48.62843077,49.0017361,14.72307692,3.000769231,0.659917962,0.242307692,0.855769231,0.383888737,0.161538462,2.923076923,1.384615385,0.576923077,15.61538462,0.788226982,1.846153846,96.5,7.169647561,10.61538462,1.452808143,0.230962466,0.227408735,11.87976938,2.645527705,1.039593231,14.96492137,5.395912685,1,1.232615107,13.90147187
mp-1046228,Mg(SnO2)4,Mg,-2.02655026,0.157452955,0.4556,13,Materials_Project,0.307692308,0.615384615,0.076923077,0.858740913,21.23076923,19.2079865,0.923076923,48.24155385,47.02913835,1.869615385,2.820769231,0.799696688,0.100769231,0.930769231,0.418577473,0.115384615,3,1.358732441,0.230769231,14.30769231,3.666577012,0.153846154,93.30769231,10.04133469,5.615384615,1.209014202,0.49611647,-0.032307692,11.22818062,3.023908679,0.588172,15.22838877,5.260371665,1,1.217242823,46.91022322
mp-1046264,Zn(SnO2)4,Zn,-1.840437842,0.145298421,0.6476,13,Materials_Project,0.307692308,0.615384615,0.076923077,0.858740913,22.61538462,19.14133048,2.307692308,51.4034,46.69410783,5.031461538,2.846923077,0.754120829,0.126923077,0.919230769,0.404559809,0.103846154,3.076923077,1.384615385,0.307692308,15.07692308,1.268647885,0.923076923,93.53846154,9.59659703,5.846153846,1.193629587,0.546896062,-0.047692308,11.36263915,2.897883159,0.722630539,15.54651449,5.490449573,1,1.212562415,45.95353559
mp-1046940,ZnSnO2,Zn,-1.560470355,0.149830403,1.1789,16,Materials_Project,0.25,0.5,0.25,1.039720771,24,17.49285568,7.5,54.02945,42.44301212,16.35225,2.6225,0.824814373,0.4125,1,0.40155946,0.3375,3.25,1.299038106,1,14.5,1.658312395,3,90.25,11.03120574,19,0.85357404,0.862619244,-0.155,10.99355625,2.722764989,2.34854925,17.01484013,5.272927151,2.527302749,2.974478522,6.813513441
mp-1047007,Ca(SnO2)2,Ca,-2.155814444,0.23449699,0.9068,14,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,21.71428571,18.34365819,2.857142857,48.78508571,44.96729823,5.725428571,2.668571429,0.938744276,0.142857143,1.014285714,0.490418397,0.257142857,3.142857143,1.355261854,0.571428571,13.42857143,4.746642207,0.285714286,83.71428571,28.73879551,2.285714286,1.156163331,0.486446595,0.003507286,10.75331592,3.329650289,0.873307924,16.12082265,5.025149303,1,1,22.48711258
mp-1047057,Sn3(P2O7)2,P,-2.415777515,0.028305826,2.8992,42,Materials_Project,0.142857143,0.666666667,0.190476191,0.864150203,15.33333333,14.40678852,2.857142857,33.52460229,35.25116756,5.89976419,2.99047619,0.639110067,0.417142857,0.797619048,0.307631579,0.190476191,2.619047619,1.045452305,0.571428571,15.52380952,0.73153769,2.857142857,96.33333333,6.896053622,17.14285714,1.27515375,0.282957019,0.142211259,12.12529848,2.294107459,1.997464,16.36683208,3.401324796,1.000618751,1.028251673,6.709086653
mp-1047184,Ca(SnO2)2,Ca,-2.208865136,0.181446298,0.988,28,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,21.71428571,18.34365819,2.857142857,48.78508571,44.96729823,5.725428571,2.668571429,0.938744276,0.142857143,1.014285714,0.490418397,0.257142857,3.142857143,1.355261854,0.571428571,13.42857143,4.746642207,0.285714286,83.71428571,28.73879551,2.285714286,1.156163331,0.486446595,0.003507286,10.75331592,3.329650289,0.873307924,14.53701037,5.572641048,3.156299295,3.749323058,0
mp-1047243,Zn(SnO2)2,Zn,-1.779305159,0.102077611,0.8741,56,Materials_Project,0.285714286,0.571428571,0.142857143,0.955699891,23.14285714,18.54283513,4.285714286,52.4038,45.13991091,9.344142857,2.761428571,0.789365542,0.235714286,0.95,0.405321742,0.192857143,3.142857143,1.355261854,0.571428571,14.85714286,1.456862718,1.714285714,92.28571429,10.29166495,10.85714286,1.064084617,0.704198867,-0.088571429,11.22203614,2.83811361,1.342028143,15.33474757,5.674599908,1,4.056119391,15.51539298
